Query	Label	Label_names
internet explorer	2	ie
windowsmedia	1	Windows
microsoft	8	Others
outlook.com	3	Office
Preview window	1	Windows
msn.com homepage	8	Others
hotm	8	Others
skype	4	skype
microsoft account	3	Office
msn homepage	8	Others
internet	2	ie
google toolbar	2	ie
manage history	2	ie
Shockwave Flash Object Flash.ocx	8	Others
windows 8.1	1	Windows
java	8	Others
www.office.com/setup	3	Office
windows media player	1	Windows
windows update	1	Windows
settings	1	Windows
internet explorer update	2	ie
skype free download	4	skype
www.outlook.com	3	Office
app store	1	Windows
sharepoint	3	Office
marinenet.usmc.mil	8	Others
security essentials	1	Windows
skype login	4	skype
microsoft.com	8	Others
downloads	1	Windows
citeworld.com/article/2147006/consumerization/internet-explorer-rise-fall-rehabilitation.html	2	ie
outlook.office365.com	3	Office
windows defender	1	Windows
desktop backgrounds	1	Windows
settings menu	1	Windows
w2express	8	Others
www.support.me	8	Others
mozilla firefox for windows 8.1	8	Others
www.microsoft.com	8	Others
account live password reset	1	Windows
background	1	Windows
xbox one	5	xbox
make msn my homepage	8	Others
windows movie maker	1	Windows
support.microsoft.com/help	8	Others
xbox	5	xbox
microsoft word	3	Office
live mail	1	Windows
xbox 360	5	xbox
outlook	3	Office
support.me	8	Others
www.microsoft.com downloads	1	Windows
outlook.com email	8	Others
outlook express	1	Windows
proxy server	1	Windows
onedrive	3	Office
internet explorer 11 for windows 7	2	ie
java download	8	Others
live	5	xbox
backgrounds	1	Windows
update internet explorer	2	ie
device manager	1	Windows
microsoft word free download	1	Windows
file extension apk	8	Others
wallpaper	1	Windows
microsoft messenger	1	Windows
my computer	1	Windows
microsoft msn	8	Others
msn.com home page	8	Others
wallpapers	1	Windows
xbox live	5	xbox
hormail	8	Others
www.office.com/myaccount	3	Office
microsoft essentials	1	Windows
Internet Explorer download	2	ie
office 365 login	3	Office
control panel	1	Windows
microsoft downloads	1	Windows
bing search history	5	Bing
free apps	1	Windows
intranet home page	8	Others
cmd	1	Windows
adblock plus	2	ie
ie	2	ie
media player	1	Windows
javascript	8	Others
xbox music	5	xbox
directx	1	Windows
bluetooth	1	Windows
skydrive	3	Office
.net framework 4.0	7	visualstudio
apps	1	Windows
w2express.com website	3	Office
iexplorer	2	ie
windows	1	Windows
movie maker	1	Windows
microsoft security essentials	1	Windows
delete history	1	Windows
java updates for windows 7	8	Others
onedrive login	3	Office
microsoft login	1	Windows
ie9	2	ie
windows live	1	Windows
java update	8	Others
app	1	Windows
direct x	1	Windows
windows 7 download	1	Windows
download skype	4	skype
wot	2	ie
internet explorer 9	2	ie
internet explorer 11	2	ie
favorites toolbar missing	2	ie
how to take a screenshot	1	Windows
windows updates	1	Windows
www.pnc.com online banking	8	Others
msn email	8	Others
account.live.com	8	Others
Latest Xbox games	5	xbox
windows 10	1	Windows
screen shot	1	Windows
windows 8.1 update	1	Windows
screensavers and wallpaper	1	Windows
outlook365	3	Office
www.skype.com	4	skype
mse	1	Windows
ie 11	2	ie
make bing my homepage	5	Bing
google homepage setup	8	Others
file extension emz	8	Others
microsoft.com downloads	8	Others
microsoft office 365 login	3	Office
miracast	1	Windows
update	1	Windows
Outlook 365 Sign in	3	Office
favorites	8	Others
apps store	1	Windows
favorites list	2	ie
Log Into My Email Account	8	Others
windows essentials	1	Windows
bing desktop background daily changer	1	Windows
wallpaper for my desktop	1	Windows
windows update troubleshooter	1	Windows
search history	2	ie
file extension exe	8	Others
windows 7 sp1	1	Windows
notepad	1	Windows
internet explore	2	ie
adblock for internet explorer	2	ie
one drive	3	Office
.net	7	visualstudio
office setup	3	Office
internet explorer 9 download	2	ie
desktop	1	Windows
hotmil	8	Others
windowsupgradeoffer	1	Windows
Open Email Inbox	3	Office
microsoft online	3	Office
openoffice for windows 8.1	8	Others
file extension lnk	8	Others
microsoft store	1	Windows
live.com sign in	1	Windows
Open control panel.	1	Windows
desktop wallpaper	1	Windows
activex	2	ie
www.java.com	2	ie
msconfig	1	Windows
www.outlook.office365.com	3	Office
how to take a screenshot in windows 8	1	Windows
windows store	1	Windows
theme	1	Windows
explorer	2	ie
how to enable cookies	2	ie
in.honda.com	8	Others
how to authorize computer for itunes	8	Others
xboxie.com	5	xbox
file extension do	8	Others
firefox browser for windows 8.1	8	Others
windows 8.1 tutorial	1	Windows
google toolbar for windows 8	8	Others
explorer 11	2	ie
password	1	Windows
free antivirus for windows 7	1	Windows
otmail	8	Others
bluetooth speakers	1	Windows
file extension acsm	8	Others
windowsonecare	1	Windows
directx download	1	Windows
www.office.com/verify	3	Office
keyboard shortcuts	1	Windows
nslookup	1	Windows
windows 7	1	Windows
xbox.com	5	xbox
xbox support	5	xbox
skype.com	4	skype
ask.com home page	8	Others
zune	5	xbox
Log into POF	8	Others
ie 9	2	ie
xbox rewards	5	xbox
wordpad	3	Office
Windows 10 event	8	Others
microsoft support	1	Windows
java.com	8	Others
paint	1	Windows
live.com email	1	Windows
microsoft office 2013	3	Office
dead rising 3	5	xbox
microsoft sign in	1	Windows
